title,handle,status,variants,availableForSaleVariants,trackedVariants,totalInventory,policies
"North & Pearl Polished Statement Link Bracelet","north-pearl-signature-bracelet-6593","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sweetheart Drop Earrings","north-pearl-heart-earrings-5815","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sparkle Stacking Bracelet","north-pearl-sparkle-bracelet-6794","ACTIVE","1","1","0","0","DENY"
"North & Pearl Pendant Dainty Initial Necklace","north-pearl-initial-necklace-7793","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Love Pendant","north-pearl-heart-necklace-2948","ACTIVE","1","1","0","0","DENY"
"North & Pearl Minimal Statement Ring","north-pearl-signature-ring","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Bloom Bracelet","north-pearl-flower-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sculpted Tennis Bracelet","north-pearl-tennis-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Classic Sparkle Necklace","north-pearl-sparkle-necklace-3170","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Refined Initial Necklace","north-pearl-initial-necklace-4625","ACTIVE","1","1","0","0","DENY"
"North & Pearl Everyday Name Necklace","north-pearl-name-necklace-4975","ACTIVE","1","1","0","0","DENY"
"North & Pearl Dainty Initial Necklace","north-pearl-initial-necklace-0100","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Name Necklace","north-pearl-name-necklace-6240","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Keepsake Letter Necklace","north-pearl-letter-necklace-6153","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layering Letter Necklace","north-pearl-letter-necklace-5572","ACTIVE","1","1","0","0","DENY"
"North & Pearl Keepsake Giftable Name Necklace","north-pearl-name-necklace-9635","ACTIVE","1","1","0","0","DENY"
"North & Pearl Classic Love Pendant","north-pearl-heart-necklace-8734","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Chain Necklace","north-pearl-snake-chain-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Stackable Sparkle Bracelet","north-pearl-sparkle-bracelet-0305","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sweetheart Charm Pendant","north-pearl-heart-necklace-9715","ACTIVE","1","1","0","0","DENY"
"North & Pearl Pendant Polished Initial Necklace","north-pearl-initial-necklace-8053","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Name Jewelry Set","north-pearl-name-jewelry-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Petite Sparkle Earrings","north-pearl-sparkle-earrings","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Giftable Name Necklace","north-pearl-name-necklace-2765","ACTIVE","1","1","0","0","DENY"
"North & Pearl Personalized Nameplate Necklace","north-pearl-personalized-nameplate-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Refined Letter Necklace","north-pearl-letter-necklace-9014","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Everyday Name Necklace","north-pearl-name-necklace-8045","ACTIVE","1","1","0","0","DENY"
"North & Pearl Dainty Letter Necklace","north-pearl-letter-necklace-0758","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Initial Necklace","north-pearl-initial-necklace-1309","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layering Name Necklace","north-pearl-name-necklace-1495","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layering Giftable Name Necklace","north-pearl-name-necklace-8099","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Name Jewelry Set","north-pearl-name-jewelry-set-0376","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Initial Necklace","north-pearl-initial-necklace-1355","ACTIVE","1","1","0","0","DENY"
"North & Pearl Keepsake Sparkle Ring","north-pearl-sparkle-ring-6187","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layering Polished Initial Necklace","north-pearl-initial-necklace-8309","ACTIVE","1","1","0","0","DENY"
"North & Pearl Keepsake Bloom Necklace","north-pearl-flower-necklace-7949","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layering Bead Necklace","north-pearl-bead-necklace-6379","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Initial Necklace","north-pearl-initial-necklace-6292","ACTIVE","1","1","0","0","DENY"
"North & Pearl Pendant Classic Name Necklace","north-pearl-name-necklace-7005","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Bloom Bracelet","north-pearl-flower-bracelet-0924","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Everyday Letter Necklace","north-pearl-letter-necklace-4393","ACTIVE","1","1","0","0","DENY"
"North & Pearl Dainty Love Pendant","north-pearl-heart-necklace-3910","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Polished Initial Necklace","north-pearl-initial-necklace-6999","ACTIVE","1","1","0","0","DENY"
"North & Pearl Keepsake Letter Necklace","north-pearl-letter-necklace-1608","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Sparkle Bracelet","north-pearl-sparkle-bracelet-3594","ACTIVE","1","1","0","0","DENY"
"North & Pearl Pendant Giftable Name Necklace","north-pearl-name-necklace-3437","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Statement Ring","north-pearl-signature-ring-0279","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sculpted Stud Earrings","north-pearl-stud-earrings","ACTIVE","1","1","0","0","DENY"
"North & Pearl Everyday Sparkle Necklace","north-pearl-sparkle-necklace-1704","ACTIVE","1","1","0","0","DENY"
"North & Pearl Dainty Sparkle Necklace","north-pearl-sparkle-necklace-7976","ACTIVE","1","1","0","0","DENY"
"North & Pearl Everyday Bloom Bracelet","north-pearl-flower-bracelet-6422","ACTIVE","1","1","0","0","DENY"
"North & Pearl Keepsake Name Necklace","north-pearl-name-necklace-4358","ACTIVE","1","1","0","0","DENY"
"North & Pearl Classic Letter Necklace","north-pearl-letter-necklace-5796","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Sparkle Earrings","north-pearl-sparkle-earrings-6570","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Everyday Sparkle Necklace","north-pearl-sparkle-necklace-2786","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Dainty Letter Necklace","north-pearl-letter-necklace-8427","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Letter Earrings","north-pearl-letter-earrings","ACTIVE","1","1","0","0","DENY"
"North & Pearl Pendant Keepsake Letter Necklace","north-pearl-letter-necklace-9838","ACTIVE","1","1","0","0","DENY"
"North & Pearl Statement Layering Name Necklace","north-pearl-name-necklace-9804","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Letter Necklace","north-pearl-letter-necklace-7036","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layering Clover Bracelet","north-pearl-clover-bracelet-1367","ACTIVE","1","1","0","0","DENY"
"North & Pearl Stacking Oval Bracelet","north-pearl-signature-bracelet-9323","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Sparkle Earrings","north-pearl-sparkle-earrings-8738","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Dainty Initial Necklace","north-pearl-initial-necklace-2094","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Pendant Necklace","north-pearl-signature-necklace-8214","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Bead Earrings","north-pearl-bead-earrings-1559","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Letter Bracelet","north-pearl-letter-bracelet-5859","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Name Necklace","north-pearl-name-necklace-0020","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layering Sparkle Bracelet","north-pearl-sparkle-bracelet-2159","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Letter Necklace","north-pearl-letter-necklace-3983","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Bloom Bracelet","north-pearl-flower-bracelet-8870","ACTIVE","1","1","0","0","DENY"
"North & Pearl Everyday Oval Bracelet","north-pearl-signature-bracelet-8272","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Polished Earrings","north-pearl-signature-earrings","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layering Initial Necklace","north-pearl-initial-necklace-3299","ACTIVE","1","1","0","0","DENY"
